Title,Company,Salary,Description,city,url
Software Tester,Verbat Technologies,,Retesting software after bugs are fixed to ensure the program works properly. Understand the testing effort by analyzing the requirements of project.,"Thiruvananthapuram, Kerala",https://in.indeed.com/rc/clk?jk=0bf8a04fd78675a8&bb=2bbzlzfsMNtO-uF4r13pkfMraOEyj0tJwSYBWnGVLujIA-heJUswNSTU_udpqDMf9z0W6p5-mYAyBo6BYs_YzEkPksNeX5Ey6F6qFKXG6HIqDaRIvntsnmykiQp5BwyR&xkcb=SoC_67M3_GRQ_MxGs50FbzkdCdPP&fccid=6038409a2c8713bc&vjs=3
Software Tester,INTO University Partnerships,,You will collaborate with software testers and developers to ensure our testing processes are robust and efficient. Take ownership of the testing strategy.,"Hybrid work in Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=df250281f0168579&bb=2bbzlzfsMNtO-uF4r13pkZEeKZRyXsT7GF3yri1lI5-C8NZlW9z3AT1rKenm1tZ0fjYBEkR5Y84q0glF_SEmYiqz04SyrX90n_uFjUZAAoXLPZpepcpaQf_3uTNIjbAGHkFvSWfgXPc%3D&xkcb=SoAL67M3_GRQ_MxGs50EbzkdCdPP&fccid=edb9e7693293c4ac&cmp=INTO-University-Partnerships&ti=Software+Test+Engineer&vjs=3
Technical Business Analyst,4moles.com,,"Understand business objectives and lead the ERP sales platform. Identifying, investigating, and analyzing business processes, procedures and work practices.","Delhi, Delhi",https://in.indeed.com/rc/clk?jk=f5fc750c776b7b4f&bb=2bbzlzfsMNtO-uF4r13pkUShUcoOM56-_FvOTQ0YxFZNTS0EnuC08US65L_-dUxZAwHCvE_AA51FigoM2OySMb4X0rVYuuqLIaAeZvtNWeBrsOpehbJIcAeeIeo1BzpH&xkcb=SoAs67M3_GRQ_MxGs50bbzkdCdPP&fccid=db61964ab8db1486&cmp=4moles.com&ti=Technical+Analyst&vjs=3
Software Developer - C programming,Cabal Technologies,,"The candidate must have programming knowledge in C, C++ & Python. Ability to articulate and quickly adopt development best practices.","Vennala, Kochi, Kerala",https://in.indeed.com/rc/clk?jk=396709a8109705bc&bb=NRXqrR4ikjZWFa2RG_zzAqFEheoMzAw-XPrbjL-RffovhHgzdjlHU7eNzdKRza2Xk-bDR98terru4G0JfO-J0VvUVOJmdv8_wFlpnYdTQ0hvglEoISfagRaKAMCLMQxb&xkcb=SoCf67M3_GRQieQNNB0LbzkdCdPP&fccid=5ad66c57c3b2b788&vjs=3
"Specialist Software Engineer -Triple A, Actuate- H/F/X",Société Générale,,Require 5-10 years of experience in Triple A and Actuate. Clear understanding of Software Development life cycle and process Oriented.,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=795900ac8a1612e5&bb=NRXqrR4ikjZWFa2RG_zzAntFyamreDGerPwHwQMoPNC_gkRWLZCtI6t854KOa5bnyC5C6R1RiANtRdgpDBTAH5FV00JSfaTyebcsRooBGt_k3syxROSTmA%3D%3D&xkcb=SoAr67M3_GRQieQNNB0KbzkdCdPP&fccid=df6948c9b8da6236&vjs=3
Information Security Analyst,iTech India Private Limited,,"Ultimately, you will install software such as firewalls to protect computers and monitor networks for any signs of intrusion while maintaining a working…","Ambattur, Chennai, Tamil Nadu",https://in.indeed.com/rc/clk?jk=5b4745b37e137dbd&bb=NRXqrR4ikjZWFa2RG_zzArZLtHVnOT483DZpb62mxV4gb21zPUPCIzQJ8ExQUWmhjOj99etxHtQedG-Xm113mWftgLcK7kGDJe3gOjtXUCeYVEbCQrnJHPlTeCOm1fAi&xkcb=SoC267M3_GRQieQNNB0JbzkdCdPP&fccid=f191b2908e4881b3&cmp=iTech-India-Private-Limited&ti=Information+Security+Analyst&vjs=3
Software Tester,Openwave Computing,,"Strong verbal, written, and presentation communications skills. Should have 2-5 yrs of experience in Manual Testing and Automation Knowledge with detailed STLC…","Chennai, Tamil Nadu",https://in.indeed.com/rc/clk?jk=568a61bb35749ca4&bb=NRXqrR4ikjZWFa2RG_zzAqtjNQHPbJNwCQ1Oqw9D7PJQj6jF43Dxv5IvOQJLz4wSdXBIE5UeeSwvAopIUhzzu5f5YQoGCeGTlER8SIU6DYlqoqSEtt_QG-epGPaLUCkk&xkcb=SoAC67M3_GRQieQNNB0IbzkdCdPP&fccid=72878a0e909198d1&vjs=3
Web Developer Internship,Paarsh E-Learning,,"In-depth knowledge of software prototyping and UX design tools. You will be assisting with website builds, implementing new design features, and working to…","Nashik, Maharashtra",https://in.indeed.com/rc/clk?jk=8c5543fc9dfef2b9&bb=NRXqrR4ikjZWFa2RG_zzAhhMYohiQn2dfJoo_5lDXEB4WagslgwfNcpcCmXTZPQnO8a1hHA9GEEIFLs9hkz-ywbCvLcaaXO1in3r_QHgG-NuwXxttNs8FRkBGbnywybX&xkcb=SoCM67M3_GRQieQNNB0PbzkdCdPP&fccid=1cbd6d3d96f5b764&cmp=Paarsh-E--Learning&ti=Web+Developer&vjs=3
Sr Software Engineer Backend,Uber,,"Lead, mentor, and inspire a team of engineers to achieve project goals and deliverables. Collaborate with product managers, designers, and other stakeholders to…","Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=70714097ebb7cb09&bb=NRXqrR4ikjZWFa2RG_zzAq_95nCwOpIybiJmeDDfoonKli1ns6o7BT7twWqz1NiPnK6f0GPIlTiE5uuu5UpFCYzs6auTbeYv1ewvqIWu2ggTStKuD2pfGs6zBcU5IDyF&xkcb=SoA467M3_GRQieQNNB0ObzkdCdPP&fccid=f766f8bfbc3effb7&vjs=3
Software Engineer II,Microsoft,,"We are looking for solid developers with the passion to research new areas, write optimal code, enhance coding standards and ship fast.","Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=ad76045e2dfd1d2e&bb=NRXqrR4ikjZWFa2RG_zzAikIshLyhUIKdbmuzlgkeZD-ElWZenfX4lAtudGoyvtOga2hBSn65_eR8AfZ3Xhd8qdHQa5H0bQRertQ11xHCAgbIM2Mlk2reg%3D%3D&xkcb=SoCl67M3_GRQieQNNB0NbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3
